Year,BC,CH4,CO,N2O,NH3,NMVOC,NOx,OC,SO2
1959,1.597,10.953,279.939,0.774,3.338,53.151,12.906,13.149,1.985
1960,1.563,10.919,276.617,0.764,3.265,52.622,12.746,12.902,1.953
1961,1.653,14.082,315.118,0.816,3.645,61.269,13.229,14.337,2.062
1962,1.632,11.466,288.909,0.794,3.421,54.986,13.222,13.514,2.033
1963,1.755,15.757,343.288,0.881,3.946,67.127,14.075,15.520,2.211
1964,1.599,11.457,285.423,0.782,3.400,54.474,12.894,13.362,2.002
1965,1.590,12.852,297.117,0.784,3.464,57.450,12.788,13.619,1.989
1966,1.577,11.807,286.753,0.778,3.390,54.978,12.727,13.367,1.985
1967,1.707,13.140,314.115,0.848,3.681,60.391,13.842,14.529,2.152
1968,1.611,11.478,287.318,0.792,3.514,54.846,12.762,13.692,2.037
1969,1.543,10.613,272.224,0.759,3.246,51.714,12.552,12.811,1.943
1970,1.577,11.157,280.908,0.777,3.405,53.574,12.623,13.305,1.994
1971,1.580,11.578,285.441,0.783,3.453,54.656,12.601,13.516,2.009
1972,1.773,15.488,343.613,0.895,4.010,66.996,14.144,15.761,2.254
1973,1.573,11.630,285.401,0.783,3.466,54.694,12.519,13.520,2.004
1974,1.621,11.471,288.947,0.799,3.431,55.057,13.174,13.540,2.041
1975,1.531,10.951,273.919,0.754,3.231,52.230,12.451,12.837,1.928
1976,1.646,11.982,296.641,0.814,3.519,56.691,13.313,13.935,2.082
1977,1.618,12.043,293.624,0.799,3.454,56.233,13.111,13.673,2.035
1978,1.696,11.811,299.997,0.830,3.561,57.057,13.779,14.074,2.126
1979,1.656,11.944,297.244,0.817,3.541,56.752,13.364,13.995,2.092
1980,1.642,12.005,296.760,0.816,3.541,56.760,13.258,13.943,2.083
1981,1.571,11.521,283.974,0.779,3.408,54.327,12.591,13.416,1.993
1982,1.862,18.098,376.727,0.939,4.165,74.242,15.131,16.626,2.332
1983,1.491,10.815,267.960,0.735,3.207,51.204,11.974,12.626,1.882
1984,1.559,11.660,283.922,0.774,3.353,54.400,12.600,13.294,1.972
1985,1.593,11.856,288.487,0.784,3.465,55.261,12.672,13.596,2.002
1986,1.597,12.050,291.295,0.790,3.427,55.865,12.920,13.537,2.007
1987,1.661,14.270,317.736,0.824,3.732,61.770,13.089,14.641,2.074
1988,1.701,12.386,305.166,0.836,3.659,58.211,13.576,14.372,2.116
1989,1.562,11.379,282.729,0.782,3.365,54.015,12.662,13.343,1.993
1990,1.610,12.872,300.980,0.806,3.593,58.139,12.780,14.121,2.053
1991,2.106,27.440,489.676,1.099,5.345,99.755,16.279,20.993,2.667
1992,1.543,11.300,278.806,0.767,3.344,53.278,12.379,13.168,1.951
1993,1.694,12.787,308.447,0.837,3.673,59.069,13.521,14.480,2.117
1994,2.038,22.858,438.013,1.036,4.961,87.652,15.646,19.378,2.533
1995,1.842,13.441,328.652,0.897,4.012,62.535,14.364,15.625,2.246
1996,1.718,12.364,306.952,0.845,3.696,58.445,13.682,14.537,2.138
1997,2.295,35.776,587.658,1.218,6.009,122.100,18.029,23.969,2.911
1998,2.599,19.859,473.240,1.293,6.165,90.568,19.054,23.494,3.246
1999,1.925,13.779,341.688,0.931,3.942,64.837,15.616,15.992,2.351
2000,1.655,11.315,289.148,0.800,3.408,54.751,13.477,13.427,2.024
2001,1.667,11.321,292.299,0.812,3.275,55.390,14.238,13.060,2.048
2002,1.993,18.112,393.919,1.027,4.736,76.994,15.336,18.660,2.575
2003,1.934,15.357,364.431,1.006,4.693,70.218,14.322,18.665,2.597
2004,1.916,15.576,355.004,0.931,4.167,68.311,15.128,16.160,2.283
2005,1.968,15.350,356.307,0.936,4.211,68.272,15.529,16.051,2.292
2006,1.836,19.632,385.897,0.921,4.396,77.029,14.169,17.216,2.310
2007,1.947,13.804,338.768,0.910,3.993,64.006,15.367,15.692,2.248
2008,1.652,11.611,291.959,0.806,3.656,55.731,12.958,13.781,2.061
2009,1.549,14.203,304.878,0.768,3.383,59.799,12.669,13.454,1.933
2010,1.910,13.878,336.243,0.904,4.061,63.716,14.770,15.856,2.235
2011,1.588,12.107,292.216,0.799,3.386,56.010,13.079,13.424,1.999
2012,1.774,14.317,336.144,0.923,4.204,64.854,13.608,16.505,2.334
2013,1.525,11.823,283.140,0.776,3.419,54.365,12.068,13.588,1.964
2014,1.741,16.669,350.846,0.893,4.238,69.086,13.180,16.496,2.245
2015,1.901,21.753,415.049,0.991,4.885,83.335,14.136,18.893,2.441
